Loại câu hỏi,Metric,Flat RAG,GraphRAG,Nhận xét phân tích
cross-doc,Comprehensiveness,1.5,3.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
cross-doc,Faithfulness,3.0,3.0,Hai phương pháp gần nhau.
cross-doc,Multi-hop reasoning,2.0,3.0,GraphRAG cải thiện rõ; kiểm tra rationale và provenance.
cross-doc,Latency (s),8.987,6.304,GraphRAG không đắt hơn trong sample này.
cross-doc,Token usage,2468.0,2529.5,Flat RAG thường rẻ/nhanh hơn.
factoid,Comprehensiveness,1.0,1.0,Hai phương pháp gần nhau.
factoid,Faithfulness,1.0,1.0,Hai phương pháp gần nhau.
factoid,Multi-hop reasoning,1.0,1.0,Hai phương pháp gần nhau.
factoid,Latency (s),2.5,2.099,GraphRAG không đắt hơn trong sample này.
factoid,Token usage,1787.0,1473.0,GraphRAG không đắt hơn trong sample này.
multi-hop,Comprehensiveness,3.0,3.0,Hai phương pháp gần nhau.
multi-hop,Faithfulness,3.0,3.0,Hai phương pháp gần nhau.
multi-hop,Multi-hop reasoning,3.0,3.0,Hai phương pháp gần nhau.
multi-hop,Latency (s),3.272,12.556,Flat RAG thường rẻ/nhanh hơn.
multi-hop,Token usage,2154.0,2133.0,GraphRAG không đắt hơn trong sample này.
